"System Installation","Instalación del Sistema"
"Initial Setup","Configuración Inicial"
"Welcome! The system needs to be initialized. Please create your admin account and first company.","¡Bienvenido! El sistema debe ser inicializado. Por favor crea tu cuenta de administrador y tu primera empresa."
"Primary Company Name (e.g., Decomons)","Nombre de la Empresa Principal (Ej: Decomons)"
"Administrator Username","Usuario Administrador"
"Password","Contraseña"
"Install System","Instalar Sistema"
"System installed successfully! Please refresh to log in.","¡Sistema instalado con éxito! Por favor recarga la página para iniciar sesión."
"Installation error: {0}","Error de instalación: {0}"
"Please fill in all required fields.","Por favor completa todos los campos requeridos."
"Login System","Sistema de Acceso"
"System Login","Inicio de Sesión"
"Critical Error: No registered companies found.","Error Crítico: No se encontraron empresas registradas."
"Select Workspace","Seleccionar Espacio de Trabajo"
"Username","Usuario"
"Log In","Ingresar"
"Invalid username or password.","Usuario o contraseña incorrectos."
"Please fill in all credentials.","Por favor ingresa tus credenciales completas."
"Active Company: {0}","Empresa Activa: {0}"
"User: {0} ({1})","Usuario: {0} ({1})"
"Log Out","Cerrar Sesión"
"Administration","Administración"
"Companies & Branches","Empresas y Sucursales"
"Operations","Operaciones"
"Inventory Upload","Carga de Inventario"
"Generate Invoices","Generar Facturas"
"History & PDF","Historial y PDF"
"Guest","Invitado"
"N/A","N/D"
"Select Language","Seleccionar Idioma"
"System Language","Idioma del Sistema"
"System installed successfully! Welcome aboard.","¡Sistema instalado con éxito! Bienvenido a bordo."
"Step 1: Workspace Settings","Paso 1: Configuración del Espacio de Trabajo"
"Step 2: Admin Account","Paso 2: Cuenta de Administrador"
"Admin Account","Cuenta Admin"
"Next","Siguiente"
"Back","Atrás"
"Please enter a company name.","Por favor ingresa un nombre de empresa."
"Creating admin for: {0}","Creando administrador para: {0}"
"Company not found.","Empresa no encontrada."
"Company: {0}","Empresa: {0}"
"Managed Branches","Sucursales Gestionadas"
"Branch ID: {0}","ID de Sucursal: {0}"
"No branches registered yet.","No hay sucursales registradas aún."
"Add New Branch","Agregar Nueva Sucursal"
"Branch Name","Nombre de la Sucursal"
"Create Branch","Crear Sucursal"
